serialanon,fpLILEEflg,AHCIncomeEQ_LILEE,fpfullinc,fuelexpn,FuelCosteqFactor,EqAHCincDeciles_LILEE,elecmop,gasmop,aagph1819,FPGAP_LILEE_UNEQ,fpvuln,fpLILEEqdt,FPEERband,FPEERrating,DWtype,DWage,Ongas,CentralHeating,Mainfueltype,boiler,WallType,tenure4x,Loftins,EPC,SAP12,hhcompx,Ageyng,Ageold,Hhsize,ethhrp2x,Hhsick,Unoc,emphrp3x,ECO_AW,FloorArea,gorehs,HTHG,WHDBroad,FPGAP_LILEE,HousingCosts,fpbasinc,wathcost,spahcost,litecost,cookcost,fpflgb,fpflgf,FullincDeciles
18190017152,0,78187.93103,45349,1137.02,0.82,10,1,1,1771,0,0,4,2,62.73,4,7,1,1,1,1,1,1,2,2,62.73,7,6,5,1,1,1,1,1,3,5,7,0,0,0,0,46961,107.08,568.04,426.28,35.62,0,0,8
18190017184,0,13610.34483,10774,811.28,0.82,3,1,1,1057,0,1,2,1,68.85,5,6,1,1,1,5,2,3,1,1,68.85,7,7,6,1,1,1,0,3,2,1,1,0,1,0,2880,10440,45.64,343.64,386.66,35.34,0,0,1
18190017197,0,23068,23068,1212.94,1,6,1,1,1652,0,1,4,2,67.53,3,5,1,1,1,3,1,1,2,2,67.53,2,6,5,2,1,1,1,1,3,5,1,0,0,0,0,24164,57.41,512.97,601.29,41.27,0,0,4
18190017350,0,20607,20607,1580.76,1,5,2,2,4778,0,1,4,2,58.21,3,5,1,1,1,2,1,1,3,2,58.21,2,7,6,2,1,1,0,3,3,3,1,0,0,0,0,22049,246.82,757.06,531.86,45.02,0,0,4
18190017353,0,21774,33396,1099.72,1,5,3,3,1448,0,1,3,1,71.22,1,5,1,1,1,4,1,4,3,1,71.22,5,4,3,2,1,1,0,3,2,3,6,0,1,0,5044,28939,105.69,483.95,469.36,40.72,0,0,7
18190017354,0,30446.73913,71622,1702.58,1.21,7,1,1,2477,0,0,3,1,78.98,4,9,1,1,1,4,5,1,3,1,78.98,1,4,4,4,1,2,1,1,3,5,5,0,0,0,15600,74490,147.72,472.46,1022.48,59.92,0,0,10
18190017446,0,47528,47528,1483.6,1,10,1,88,1899,0,1,4,3,47.21,2,2,0,1,3,4,4,1,3,3,47.22,2,6,5,2,1,2,1,3,3,4,4,0,0,0,0,49199,173.14,706.11,546.6,57.75,0,0,9
18190017519,0,46898,46898,1127.16,1,9,1,1,1135,0,1,3,1,69.7,4,6,1,1,1,4,1,1,3,1,69.7,2,6,5,2,1,1,1,1,3,4,5,0,0,0,0,48770,81.14,412.79,592.43,40.8,0,0,9
18190017541,0,32396,32396,1624.38,1,8,1,88,1023,0,1,4,2,56.51,3,5,0,1,3,1,1,1,3,2,56.51,2,5,5,2,1,1,1,3,3,5,5,0,0,0,0,33672,131.97,807,628.45,56.96,0,0,6
18190017554,0,69222.82609,100000,2749.45,1.21,10,1,1,1966,0,0,4,2,65.42,4,2,1,1,1,5,3,1,3,2,65.42,2,4,5,4,1,2,1,1,3,5,4,0,0,0,26700,100000,84.58,1250.23,1353.69,60.95,0,0,10
18190017565,1,14345.4154,17892,957.63,1,3,3,1,2539,20.16024634,0,1,2,67.31,5,7,0,1,3,-9,1,2,1,2,67.31,5,4,2,2,1,2,0,1,3,2,8,1,0,20.16024634,3466.584598,18934,203.15,312.67,388.3,53.51,0,0,3
18190017654,0,14958.62069,17339,827.41,0.82,3,2,88,636,0,1,2,1,75.19,5,6,0,1,3,-9,1,4,1,1,75.19,7,7,6,1,1,1,0,3,2,2,6,0,1,0,4212,13127,122.88,295.4,354.97,54.16,0,0,3
18190017670,1,1807.746479,2567,1605.6,1.07,1,1,1,3983,139.4951525,1,1,2,63.24,4,5,1,1,1,4,1,1,3,2,63.24,1,4,4,3,1,1,1,3,3,5,5,0,0,130.3693014,0,4688,177.98,676.17,704.78,46.67,1,1,1
18190017687,1,4499.019608,21294,1390.47,1.32,1,3,3,956,33.66695751,1,1,2,67.42,2,4,1,1,1,5,4,3,2,2,62.09,4,1,4,5,1,1,0,3,2,3,6,0,1,25.50527084,4576,21294,101.02,562.27,668.9,58.28,0,0,4
18190017699,0,31617,39837,1544.18,1,8,1,88,1035,0,1,4,3,41.01,3,5,0,1,3,1,2,2,2,3,41.01,2,6,5,2,1,1,0,1,3,2,7,0,0,0,8220,41205,260.33,805.22,420.49,58.14,0,0,8
18190017729,0,23294,32414,1050.36,1,6,2,2,1404,0,0,4,2,67.09,3,3,1,1,1,5,4,2,2,2,67.09,1,5,2,2,1,2,0,1,3,2,9,0,0,0,9120,33702,120.53,420.2,462.85,46.78,0,0,6
18190017748,0,26655.17241,17820,1118.12,0.82,7,2,2,625,0,0,4,2,58.44,1,2,1,1,1,5,4,1,3,2,58.44,6,5,2,1,1,2,1,1,3,2,4,0,0,0,2280,18934,40.51,587.83,451.49,38.29,0,0,3
18190017784,0,24780,34128,865.61,1,6,1,1,8681,0,0,3,1,78.89,1,9,1,1,1,4,1,1,3,1,78.89,1,5,2,2,1,2,0,1,3,3,10,0,0,0,9348,35684,99.23,250.42,471.93,44.03,0,0,7
18190017814,0,10110.34483,12156,866.66,0.82,2,1,88,1011,0,1,2,1,74.42,5,9,0,2,2,-9,1,4,1,1,74.43,7,6,5,1,1,1,0,3,2,1,10,0,1,0,6292,13010,214.15,241.42,344.9,66.19,0,0,1
